state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
33,NH,2023-10-21,17.05,20.72,22.83,13.29,18.472499999999997
33,NH,2023-10-28,17.05,20.72,22.83,14.29,18.722499999999997
33,NH,2023-11-04,17.05,20.72,23.83,8.81,17.6025
33,NH,2023-11-11,17.05,21.72,17.83,3.94,15.134999999999998
33,NH,2023-11-18,17.97,16.07,11.4,3.47,12.2275
33,NH,2023-11-25,12.58,10.07,4.57,11.16,9.594999999999999
33,NH,2023-12-02,7.01,3.94,4.36,25.51,10.205
33,NH,2023-12-09,3.14,4.85,11.83,15.94,8.94
33,NH,2023-12-16,6.84,13.46,6.44,15.94,10.67
33,NH,2023-12-23,17.53,7.37,6.44,4.16,8.875
33,NH,2023-12-30,10.4,7.37,4.23,2.51,6.1274999999999995
33,NH,2024-01-06,10.4,3.68,6.14,8.29,7.1274999999999995
33,NH,2024-01-13,3.23,5.24,3.83,14.29,6.6475
33,NH,2024-01-20,3.49,3.89,5.66,11.16,6.050000000000001
33,NH,2024-01-27,5.01,6.42,4.36,5.77,5.39
33,NH,2024-02-03,9.1,4.85,3.83,9.68,6.865
33,NH,2024-02-10,6.84,3.55,4.1,5.77,5.0649999999999995
33,NH,2024-02-17,3.79,4.33,3.83,8.94,5.2225
33,NH,2024-02-24,5.88,3.55,3.96,2.55,3.9850000000000003
33,NH,2024-03-02,3.79,4.11,5.75,3.25,4.225
33,NH,2024-03-09,5.4,4.85,10.1,3.47,5.955
33,NH,2024-03-16,3.36,8.76,10.75,4.42,6.8225
33,NH,2024-03-23,5.97,9.42,12.05,5.38,8.205
33,NH,2024-03-30,6.45,10.72,13.7,11.29,10.54
