state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
32,NV,2023-10-21,9.55,8.46,5.88,4.62
32,NV,2023-10-28,6.29,4.15,3.62,3.71
32,NV,2023-11-04,3.12,3.28,4.36,5.62
32,NV,2023-11-11,3.73,5.59,7.49,25.8
32,NV,2023-11-18,7.68,10.02,30.18,66.1
32,NV,2023-11-25,12.9,35.59,71.1,106.1
32,NV,2023-12-02,40.29,76.59,111.1,112.1
32,NV,2023-12-09,81.29,116.59,117.1,91.1
32,NV,2023-12-16,121.29,122.59,96.1,99.1
32,NV,2023-12-23,127.29,101.59,104.1,32.19
32,NV,2023-12-30,106.29,109.59,37.1,19.1
32,NV,2024-01-06,114.29,42.59,22.97,11.32
32,NV,2024-01-13,47.29,27.67,14.4,3.71
32,NV,2024-01-20,32.29,18.07,3.66,7.36
32,NV,2024-01-27,21.81,4.11,9.66,4.41
32,NV,2024-02-03,5.51,12.72,5.66,6.41
32,NV,2024-02-10,15.94,7.59,8.53,4.41
32,NV,2024-02-17,10.03,11.33,5.66,3.67
32,NV,2024-02-24,14.38,7.59,4.14,3.97
32,NV,2024-03-02,10.03,5.2,4.97,6.1
32,NV,2024-03-09,7.12,6.54,4.49,3.71
32,NV,2024-03-16,8.81,3.46,3.66,7.06
32,NV,2024-03-23,3.03,4.11,5.1,6.1
32,NV,2024-03-30,5.51,3.72,4.49,8.67
