state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
72,PR,2023-10-21,37.27,37.49,20.19,37.58,33.1325
72,PR,2023-10-28,52.4,34.54,44.06,33.14,41.035
72,PR,2023-11-04,49.1,63.01,39.36,55.93,51.85
72,PR,2023-11-11,80.44,57.54,63.36,84.4,71.435
72,PR,2023-11-18,74.44,84.58,92.27,89.4,85.17249999999999
72,PR,2023-11-25,102.44,113.58,97.27,86.4,99.92249999999999
72,PR,2023-12-02,131.44,118.58,94.27,82.4,106.67249999999999
72,PR,2023-12-09,136.44,115.58,90.27,95.4,109.42249999999999
72,PR,2023-12-16,133.44,111.58,103.27,85.4,108.42249999999999
72,PR,2023-12-23,129.44,124.58,93.27,96.4,110.92249999999999
72,PR,2023-12-30,142.44,114.58,104.27,95.4,114.17249999999999
72,PR,2024-01-06,132.44,125.58,103.27,112.4,118.42249999999999
72,PR,2024-01-13,143.44,124.58,120.27,78.4,116.67249999999999
72,PR,2024-01-20,142.44,141.58,86.27,94.4,116.17249999999999
72,PR,2024-01-27,159.44,107.58,102.27,94.4,115.92249999999999
72,PR,2024-02-03,125.44,123.58,102.27,103.4,113.67249999999999
72,PR,2024-02-10,141.44,123.58,111.27,94.4,117.67249999999999
72,PR,2024-02-17,141.44,132.58,102.27,82.4,114.67249999999999
72,PR,2024-02-24,150.44,123.58,90.27,96.4,115.17249999999999
72,PR,2024-03-02,141.44,111.58,104.27,98.4,113.92249999999999
72,PR,2024-03-09,129.44,125.58,106.27,107.4,117.17249999999999
72,PR,2024-03-16,143.44,127.58,115.27,103.4,122.42249999999999
72,PR,2024-03-23,145.44,136.58,111.27,110.4,125.92249999999999
72,PR,2024-03-30,154.44,132.58,118.27,102.4,126.92249999999999
