state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
46,SD,2023-10-21,1.91,0.72,1.3,1.53,1.365
46,SD,2023-10-28,0.78,1.2,0.82,1.31,1.0274999999999999
46,SD,2023-11-04,1.34,0.72,1.3,2.05,1.3525
46,SD,2023-11-11,0.78,1.2,3.69,1.66,1.8325
46,SD,2023-11-18,1.34,4.03,3.21,5.09,3.4175
46,SD,2023-11-25,4.17,3.46,8.65,23.61,9.9725
46,SD,2023-12-02,3.6,9.51,28.56,38.61,20.07
46,SD,2023-12-09,9.64,29.42,43.56,44.61,31.8075
46,SD,2023-12-16,29.56,44.42,49.56,22.61,36.5375
46,SD,2023-12-23,44.56,50.42,27.56,7.4,32.485
46,SD,2023-12-30,50.56,28.42,11.56,17.61,27.0375
46,SD,2024-01-06,28.56,12.42,22.56,13.61,19.287499999999998
46,SD,2024-01-13,12.56,23.42,18.56,9.05,15.8975
46,SD,2024-01-20,23.56,19.42,13.56,16.61,18.2875
46,SD,2024-01-27,19.56,14.42,21.56,32.61,22.037499999999998
46,SD,2024-02-03,14.56,22.42,37.56,36.61,27.7875
46,SD,2024-02-10,22.56,38.42,41.56,27.61,32.5375
46,SD,2024-02-17,38.56,42.42,32.56,33.61,36.7875
46,SD,2024-02-24,42.56,33.42,38.56,49.61,41.0375
46,SD,2024-03-02,33.56,39.42,54.56,23.61,37.7875
46,SD,2024-03-09,39.56,55.42,28.56,27.61,37.7875
46,SD,2024-03-16,55.56,29.42,32.56,5.83,30.8425
46,SD,2024-03-23,29.56,33.42,9.56,14.61,21.7875
46,SD,2024-03-30,33.56,10.42,19.56,5.83,17.3425
