state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
48,TX,2023-10-21,736.82,741.22,684.05,890.07
48,TX,2023-10-28,677.82,673.22,684.05,796.07
48,TX,2023-11-04,609.82,673.22,590.05,717.07
48,TX,2023-11-11,609.82,579.22,511.05,673.07
48,TX,2023-11-18,515.82,500.22,467.05,353.07
48,TX,2023-11-25,436.82,456.22,169.83,94.07
48,TX,2023-12-02,392.82,160.13,50.66,66.29
48,TX,2023-12-09,113.0,53.13,190.01,86.25
48,TX,2023-12-16,75.82,201.35,234.4,55.38
48,TX,2023-12-23,260.91,247.13,99.53,80.2
48,TX,2023-12-30,313.56,107.91,58.44,53.03
48,TX,2024-01-06,153.13,62.56,124.66,62.46
48,TX,2024-01-13,91.69,134.52,79.4,139.59
48,TX,2024-01-20,185.65,86.39,46.36,371.07
48,TX,2024-01-27,126.04,44.74,183.14,475.07
48,TX,2024-02-03,48.56,173.43,271.31,608.07
48,TX,2024-02-10,124.74,260.48,402.05,776.07
48,TX,2024-02-17,203.17,391.22,570.05,801.07
48,TX,2024-02-24,327.82,559.22,595.05,924.07
48,TX,2024-03-02,495.82,584.22,718.05,962.07
48,TX,2024-03-09,520.82,707.22,756.05,1016.07
48,TX,2024-03-16,643.82,745.22,810.05,1055.07
48,TX,2024-03-23,681.82,799.22,849.05,1073.07
48,TX,2024-03-30,735.82,838.22,867.05,1113.07
