state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
49,UT,2023-10-21,197.23,102.87,62.72,24.95
49,UT,2023-10-28,193.23,106.87,60.72,21.95
49,UT,2023-11-04,197.23,104.87,57.72,15.73
49,UT,2023-11-11,195.23,101.87,50.72,15.73
49,UT,2023-11-18,192.23,94.87,50.72,10.73
49,UT,2023-11-25,185.23,94.87,43.72,7.69
49,UT,2023-12-02,185.23,87.87,15.55,22.64
49,UT,2023-12-09,178.23,53.87,6.68,10.43
49,UT,2023-12-16,144.23,34.31,12.64,4.08
49,UT,2023-12-23,122.23,49.05,23.16,8.21
49,UT,2023-12-30,139.23,64.87,39.72,4.47
49,UT,2024-01-06,155.23,83.87,30.42,8.21
49,UT,2024-01-13,174.23,73.87,39.72,16.56
49,UT,2024-01-20,164.23,83.87,51.72,14.25
49,UT,2024-01-27,174.23,95.87,48.72,22.95
49,UT,2024-02-03,186.23,92.87,58.72,15.73
49,UT,2024-02-10,183.23,102.87,50.72,18.21
49,UT,2024-02-17,193.23,94.87,53.72,15.73
49,UT,2024-02-24,185.23,97.87,50.72,20.04
49,UT,2024-03-02,188.23,94.87,55.72,20.95
49,UT,2024-03-09,185.23,99.87,56.72,26.95
49,UT,2024-03-16,190.23,100.87,62.72,30.95
49,UT,2024-03-23,191.23,106.87,66.72,28.95
49,UT,2024-03-30,197.23,110.87,64.72,25.95
