state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
53,WA,2023-10-21,498.66,212.27,103.81,59.74
53,WA,2023-10-28,489.66,212.27,87.81,56.74
53,WA,2023-11-04,489.66,196.27,84.81,23.17
53,WA,2023-11-11,473.66,193.27,47.51,17.31
53,WA,2023-11-18,470.66,155.27,39.72,7.57
53,WA,2023-11-25,432.66,146.27,20.85,21.65
53,WA,2023-12-02,423.66,120.27,9.03,67.91
53,WA,2023-12-09,397.66,75.05,36.85,65.91
53,WA,2023-12-16,351.66,32.09,35.38,25.57
53,WA,2023-12-23,295.66,33.22,10.16,15.74
53,WA,2023-12-30,297.66,69.57,8.59,7.52
53,WA,2024-01-06,345.66,84.27,14.98,8.17
53,WA,2024-01-13,361.66,109.27,23.38,19.17
53,WA,2024-01-20,386.66,124.27,42.2,23.91
53,WA,2024-01-27,401.66,149.27,48.42,9.74
53,WA,2024-02-03,426.66,156.27,27.46,21.78
53,WA,2024-02-10,433.66,130.27,45.68,37.44
53,WA,2024-02-17,407.66,153.27,64.81,16.17
53,WA,2024-02-24,430.66,173.27,38.07,18.52
53,WA,2024-03-02,450.66,144.27,41.38,37.44
53,WA,2024-03-09,421.66,148.27,64.81,49.74
53,WA,2024-03-16,425.66,173.27,77.81,50.74
53,WA,2024-03-23,450.66,186.27,78.81,66.74
53,WA,2024-03-30,463.66,187.27,94.81,55.74
