state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
55,WI,2023-10-21,207.42,35.78,2.86,2.02
55,WI,2023-10-28,198.42,31.78,4.21,13.19
55,WI,2023-11-04,194.42,36.78,6.08,37.76
55,WI,2023-11-11,199.42,19.78,25.25,77.76
55,WI,2023-11-18,180.42,6.26,65.16,100.76
55,WI,2023-11-25,155.42,17.3,88.16,165.76
55,WI,2023-12-02,115.42,35.0,153.16,278.76
55,WI,2023-12-09,92.42,98.96,266.16,226.76
55,WI,2023-12-16,37.07,211.96,214.16,245.76
55,WI,2023-12-23,24.51,159.96,233.16,154.76
55,WI,2023-12-30,12.6,178.96,142.16,119.76
55,WI,2024-01-06,13.51,87.96,107.16,153.76
55,WI,2024-01-13,44.94,52.96,141.16,156.76
55,WI,2024-01-20,73.94,86.96,144.16,187.76
55,WI,2024-01-27,45.68,89.96,175.16,191.76
55,WI,2024-02-03,43.47,120.96,179.16,178.76
55,WI,2024-02-10,24.03,124.96,166.16,176.76
55,WI,2024-02-17,22.12,111.96,164.16,163.76
55,WI,2024-02-24,28.94,109.96,151.16,111.76
55,WI,2024-03-02,30.07,96.96,99.16,104.76
55,WI,2024-03-09,38.38,45.04,92.16,103.76
55,WI,2024-03-16,81.42,38.65,91.16,55.76
55,WI,2024-03-23,88.42,37.74,43.16,44.76
55,WI,2024-03-30,89.42,6.35,32.16,16.84
