state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
54,WV,2023-10-21,63.15,77.59,90.45,65.54
54,WV,2023-10-28,60.15,70.59,96.45,60.54
54,WV,2023-11-04,53.15,76.59,91.45,56.54
54,WV,2023-11-11,59.15,71.59,87.45,53.54
54,WV,2023-11-18,54.15,67.59,84.45,40.54
54,WV,2023-11-25,50.15,64.59,71.45,6.93
54,WV,2023-12-02,47.15,51.59,26.8,39.67
54,WV,2023-12-09,34.33,12.85,13.1,54.63
54,WV,2023-12-16,6.11,26.64,21.45,26.06
54,WV,2023-12-23,44.68,38.9,8.28,32.98
54,WV,2023-12-30,59.98,15.81,10.23,26.06
54,WV,2024-01-06,30.2,21.16,8.28,19.59
54,WV,2024-01-13,37.55,15.81,7.8,22.37
54,WV,2024-01-20,30.2,11.5,7.88,69.63
54,WV,2024-01-27,23.55,13.33,31.67,48.8
54,WV,2024-02-03,26.5,52.07,17.97,66.63
54,WV,2024-02-10,74.98,34.03,29.45,31.32
54,WV,2024-02-17,53.98,49.33,9.62,7.15
54,WV,2024-02-24,71.98,19.85,14.93,7.37
54,WV,2024-03-02,35.89,7.07,28.28,10.89
54,WV,2024-03-09,8.85,13.81,35.28,12.5
54,WV,2024-03-16,6.37,19.24,37.75,51.54
54,WV,2024-03-23,8.5,21.29,82.45,60.54
54,WV,2024-03-30,9.68,62.59,91.45,51.54
