state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
56,WY,2023-10-21,46.18,23.36,10.48,3.96,20.994999999999997
56,WY,2023-10-28,45.18,19.44,7.61,3.7,18.9825
56,WY,2023-11-04,41.18,15.88,2.82,4.09,15.9925
56,WY,2023-11-11,37.18,6.4,2.87,22.44,17.2225
56,WY,2023-11-18,23.71,5.92,15.13,23.44,17.05
56,WY,2023-11-25,22.88,6.79,15.95,6.92,13.135
56,WY,2023-12-02,7.49,7.27,3.78,48.44,16.744999999999997
56,WY,2023-12-09,7.1,4.31,39.56,58.44,27.3525
56,WY,2023-12-16,18.84,25.57,49.56,30.44,31.1025
56,WY,2023-12-23,7.49,35.05,21.91,3.7,17.0375
56,WY,2023-12-30,12.1,11.49,2.82,15.14,10.3875
56,WY,2024-01-06,5.32,6.4,9.39,15.14,9.0625
56,WY,2024-01-13,23.71,4.18,9.39,9.7,11.745000000000001
56,WY,2024-01-20,11.32,4.18,5.43,18.7,9.907499999999999
56,WY,2024-01-27,11.32,3.71,12.17,5.7,8.225000000000001
56,WY,2024-02-03,15.88,5.23,3.35,4.57,7.2575
56,WY,2024-02-10,9.23,4.84,3.0,2.4,4.8675
56,WY,2024-02-17,20.4,5.53,4.39,3.09,8.3525
56,WY,2024-02-24,22.05,11.27,6.39,6.22,11.4825
56,WY,2024-03-02,31.18,14.23,10.48,3.09,14.745000000000001
56,WY,2024-03-09,35.18,19.44,6.39,4.92,16.4825
56,WY,2024-03-16,41.18,14.23,8.91,5.57,17.472499999999997
56,WY,2024-03-23,35.18,17.62,9.65,8.44,17.7225
56,WY,2024-03-30,39.18,18.53,12.95,6.96,19.404999999999998
